Crime_ID,Date,Time,Crime_Type,Location,Latitude,Longitude,Day_of_Week,Weather_Condition,Temperature,Offender_Age,Offender_Gender,Victim_Age,Victim_Gender,Crime_Outcome
217,07-06-2022,02:29,Burglary,Park,34.562585,-96.770225,Tuesday,Clear,2.4,34,Male,34,Female,Unsolved
218,16-05-2023,05:55,Robbery,Highway,36.426033,-98.032671,Tuesday,Clear,17.6,58,Female,12,Male,Unsolved
219,13-09-2023,05:33,Vandalism,Park,34.208818,-80.051102,Wednesday,Snowy,17.6,53,Male,18,Female,Unsolved
220,08-11-2023,05:16,Drug Offense,Industrial Zone,37.389519,-104.356472,Wednesday,Cloudy,28.8,26,Female,18,Male,Unsolved
221,03-07-2023,00:48,Homicide,Downtown,36.423026,-89.058059,Monday,Clear,-2.4,56,Male,75,Female,Arrested
222,29-04-2023,11:50,Robbery,Highway,37.201141,-88.509865,Saturday,Clear,29.5,30,Male,64,Male,Unsolved
223,09-11-2023,09:20,Theft,Industrial Zone,38.850269,-93.630513,Thursday,Clear,30.4,52,Male,13,Female,Arrested
224,21-08-2022,11:23,Fraud,Residential Area,36.879586,-114.103316,Sunday,Clear,29.5,45,Male,56,Male,Unsolved
225,27-06-2023,14:02,Homicide,Residential Area,36.991583,-81.59408,Tuesday,Snowy,-1.5,29,Female,15,Female,Under Investigation
226,11-03-2023,21:52,Vandalism,Downtown,37.581337,-108.774943,Saturday,Clear,6,45,Female,49,Male,Under Investigation
227,31-10-2022,20:08,Fraud,Highway,35.305413,-105.107013,Monday,Foggy,20.8,40,Female,29,Female,Under Investigation
228,23-09-2022,02:26,Theft,Residential Area,34.693819,-108.35364,Friday,Snowy,34.3,36,Male,57,Male,Arrested
229,25-05-2023,10:20,Fraud,Highway,37.933844,-116.359839,Thursday,Clear,15.4,38,Male,43,Male,Unsolved
230,04-09-2023,09:54,Robbery,Residential Area,34.583235,-84.522153,Monday,Clear,9.3,31,Male,34,Male,Arrested
231,16-04-2022,21:15,Drug Offense,Park,36.499018,-116.205543,Saturday,Snowy,32.1,33,Male,55,Male,Unsolved
232,25-07-2023,20:47,Homicide,Park,37.458445,-100.134956,Tuesday,Cloudy,13.1,23,Female,44,Male,Arrested
233,06-09-2022,13:37,Drug Offense,Highway,38.139156,-104.173582,Tuesday,Clear,9.5,54,Female,59,Female,Arrested
234,13-11-2022,06:05,Assault,Downtown,39.32747,-116.14553,Sunday,Cloudy,11.7,29,Male,21,Male,Arrested
235,06-03-2022,03:12,Theft,Downtown,36.060703,-109.419198,Sunday,Cloudy,-3.5,37,Male,36,Male,Under Investigation
236,19-09-2022,04:41,Fraud,Residential Area,35.914273,-87.936836,Monday,Snowy,16.4,49,Male,19,Male,Under Investigation
237,02-02-2022,14:33,Homicide,Suburb,37.500574,-107.23291,Wednesday,Cloudy,15.8,39,Male,66,Male,Under Investigation
238,06-03-2022,15:31,Homicide,Residential Area,35.0245,-80.221484,Sunday,Rainy,11,46,Female,23,Female,Under Investigation
239,31-01-2022,00:56,Assault,Industrial Zone,35.99922,-111.399976,Monday,Foggy,13.9,41,Male,76,Male,Arrested
240,16-03-2022,19:21,Robbery,Suburb,36.522466,-94.302383,Wednesday,Foggy,13.6,28,Female,70,Female,Arrested
241,25-01-2023,14:16,Drug Offense,Industrial Zone,34.162942,-112.809409,Wednesday,Snowy,-2.4,16,Male,42,Male,Arrested
242,15-06-2023,05:13,Assault,Suburb,39.291304,-79.423829,Thursday,Cloudy,0.7,32,Male,64,Male,Arrested
243,20-10-2022,05:01,Theft,Suburb,38.660127,-90.714791,Thursday,Foggy,-0.9,53,Female,64,Male,Under Investigation
244,02-09-2022,08:57,Drug Offense,Highway,39.07319,-88.594009,Friday,Foggy,10.2,57,Male,79,Female,Unsolved
245,03-11-2023,20:37,Fraud,Highway,38.887727,-89.563694,Friday,Clear,9.5,16,Female,46,Female,Under Investigation
246,26-07-2023,16:06,Fraud,Park,35.360265,-107.853952,Wednesday,Foggy,8.5,29,Female,76,Female,Under Investigation
247,05-09-2023,18:53,Homicide,Downtown,38.108238,-85.698768,Tuesday,Foggy,13.4,41,Female,23,Male,Arrested
248,09-09-2022,01:14,Fraud,Highway,34.290641,-79.185666,Friday,Cloudy,3.2,48,Female,20,Female,Under Investigation
249,29-06-2023,11:25,Vandalism,Highway,37.908884,-107.023051,Thursday,Snowy,28.7,16,Male,80,Female,Under Investigation
250,31-05-2023,13:21,Assault,Downtown,39.163038,-96.751233,Wednesday,Cloudy,33.3,51,Female,80,Male,Unsolved
251,25-06-2022,19:37,Theft,Residential Area,35.241859,-116.735253,Saturday,Snowy,27,50,Male,69,Male,Arrested
252,24-03-2022,18:51,Fraud,Suburb,38.503871,-80.768295,Thursday,Rainy,3.7,18,Male,42,Male,Under Investigation
253,04-01-2023,13:05,Fraud,Highway,37.809957,-85.314397,Wednesday,Cloudy,21.7,22,Female,54,Female,Arrested
254,10-01-2022,01:04,Homicide,Park,35.570292,-100.28524,Monday,Rainy,24.7,43,Male,11,Male,Arrested
255,02-10-2022,13:29,Theft,Suburb,37.503237,-105.183371,Sunday,Clear,31.2,29,Female,21,Female,Arrested
256,04-11-2022,06:35,Assault,Mall,38.447364,-104.371649,Friday,Rainy,25.6,17,Male,47,Male,Arrested
257,16-10-2022,18:42,Burglary,Highway,37.273479,-83.530216,Sunday,Snowy,6.6,47,Female,80,Female,Unsolved
258,19-07-2022,07:59,Fraud,Highway,36.044507,-93.22514,Tuesday,Clear,16.5,41,Female,32,Male,Unsolved
259,25-11-2023,07:48,Fraud,Highway,37.753878,-112.309708,Saturday,Snowy,10.7,58,Male,15,Male,Unsolved
260,24-01-2022,17:17,Burglary,Industrial Zone,38.017925,-88.611368,Monday,Clear,1.2,50,Male,53,Male,Arrested
261,30-04-2022,21:19,Fraud,Park,34.62342,-112.100694,Saturday,Cloudy,7,32,Male,44,Male,Under Investigation
262,07-11-2023,07:28,Theft,Highway,39.255091,-108.044351,Tuesday,Rainy,11.6,20,Male,47,Male,Unsolved
263,02-05-2022,09:56,Fraud,Park,37.136975,-78.248472,Monday,Rainy,4.1,34,Male,23,Female,Unsolved
264,02-01-2023,09:54,Vandalism,Park,34.775739,-105.892068,Monday,Rainy,9.6,42,Female,37,Female,Unsolved
265,09-05-2023,21:50,Burglary,Park,34.101122,-108.886226,Tuesday,Snowy,20.8,28,Female,24,Male,Under Investigation
266,28-10-2022,18:56,Homicide,Mall,37.017795,-79.989949,Friday,Clear,-3.1,29,Female,53,Male,Under Investigation
267,12-03-2022,09:32,Fraud,Suburb,35.020374,-88.193577,Saturday,Rainy,-1.2,54,Female,60,Male,Under Investigation
268,10-08-2023,08:38,Homicide,Park,36.457026,-100.089757,Thursday,Snowy,4.6,17,Male,19,Female,Arrested
269,02-11-2022,02:00,Assault,Park,37.954429,-103.381626,Wednesday,Cloudy,23.5,58,Female,31,Male,Arrested
270,16-08-2022,13:53,Homicide,Industrial Zone,35.054239,-78.85934,Tuesday,Foggy,31.5,25,Female,42,Male,Unsolved
271,26-11-2023,11:08,Robbery,Downtown,38.110241,-98.968168,Sunday,Cloudy,3.9,17,Male,37,Female,Arrested
272,02-12-2022,11:11,Drug Offense,Industrial Zone,35.695425,-115.390933,Friday,Clear,-0.9,52,Female,36,Female,Unsolved
273,17-06-2022,23:32,Homicide,Highway,37.743025,-104.92109,Friday,Foggy,16.9,28,Male,54,Male,Under Investigation
274,03-07-2022,21:23,Assault,Suburb,39.618522,-104.316079,Sunday,Foggy,-1.7,21,Male,73,Female,Arrested
275,08-07-2022,17:13,Theft,Industrial Zone,34.066459,-116.666958,Friday,Foggy,20.8,42,Male,40,Male,Unsolved
276,26-01-2022,13:55,Robbery,Mall,34.323124,-101.756209,Wednesday,Foggy,1.3,56,Female,21,Female,Arrested
277,09-01-2023,20:46,Assault,Highway,35.83462,-103.986901,Monday,Clear,16.9,60,Male,50,Female,Under Investigation
278,08-01-2022,06:52,Burglary,Park,34.511398,-95.316698,Saturday,Rainy,-4.9,23,Male,30,Female,Arrested
279,25-12-2023,10:48,Burglary,Suburb,37.331633,-84.410592,Monday,Cloudy,1.5,50,Female,65,Female,Arrested
280,07-05-2023,06:25,Vandalism,Suburb,38.214823,-76.375073,Sunday,Snowy,18.5,34,Female,56,Female,Unsolved
281,16-11-2022,07:03,Homicide,Industrial Zone,39.587506,-86.34826,Wednesday,Clear,9.7,59,Female,20,Male,Under Investigation
282,17-07-2023,20:50,Drug Offense,Suburb,36.173974,-101.353149,Monday,Clear,-0.6,16,Female,64,Female,Under Investigation
283,14-09-2022,19:52,Homicide,Park,36.301096,-87.522451,Wednesday,Foggy,-3.8,56,Female,27,Male,Arrested
284,26-06-2023,01:20,Robbery,Highway,34.707052,-96.371769,Monday,Cloudy,12,30,Female,38,Female,Under Investigation
285,04-02-2022,22:18,Assault,Residential Area,39.540118,-78.13881,Friday,Clear,12.8,49,Male,45,Female,Arrested
286,23-08-2022,09:39,Burglary,Downtown,36.184122,-85.584143,Tuesday,Rainy,10.2,40,Male,73,Female,Under Investigation
287,22-09-2023,10:17,Homicide,Mall,38.929171,-102.363448,Friday,Foggy,19.3,42,Female,60,Female,Unsolved
288,08-08-2022,05:58,Burglary,Park,36.685776,-107.755725,Monday,Rainy,23.8,34,Female,67,Female,Arrested
289,10-12-2022,16:39,Fraud,Park,34.059648,-106.154832,Saturday,Snowy,33.5,34,Female,31,Female,Arrested
290,14-06-2023,00:19,Burglary,Downtown,39.031574,-100.894201,Wednesday,Cloudy,20.7,41,Female,13,Female,Under Investigation
291,15-07-2022,12:54,Homicide,Mall,39.211941,-96.449331,Friday,Snowy,14.8,21,Male,19,Male,Arrested
292,08-10-2023,13:13,Drug Offense,Park,34.060345,-88.573991,Sunday,Rainy,34.5,18,Female,15,Female,Arrested
293,30-12-2022,04:10,Theft,Mall,36.044855,-96.693367,Friday,Clear,9.7,47,Male,25,Male,Unsolved
294,22-01-2023,23:45,Vandalism,Downtown,36.341116,-80.578247,Sunday,Clear,-1.1,47,Male,57,Female,Arrested
295,18-11-2023,09:46,Homicide,Industrial Zone,35.395905,-103.332396,Saturday,Foggy,11.7,17,Male,36,Female,Arrested
296,26-12-2022,14:27,Vandalism,Residential Area,34.245174,-81.409225,Monday,Cloudy,-3,43,Female,79,Female,Unsolved
297,06-09-2023,10:11,Fraud,Residential Area,35.744487,-106.673491,Wednesday,Snowy,12.9,25,Female,62,Male,Unsolved
298,01-04-2022,22:12,Vandalism,Highway,38.041059,-106.426034,Friday,Clear,14.1,29,Male,68,Female,Arrested
299,06-06-2022,04:42,Assault,Highway,36.053781,-103.224662,Monday,Clear,17.3,19,Female,70,Male,Under Investigation
300,16-04-2022,11:56,Vandalism,Park,34.569423,-96.488871,Saturday,Cloudy,30.2,35,Male,50,Male,Under Investigation
301,21-01-2023,15:27,Drug Offense,Suburb,34.397107,-89.84478,Saturday,Foggy,17.4,16,Female,29,Female,Unsolved
302,25-10-2022,11:17,Drug Offense,Residential Area,38.866279,-87.312106,Tuesday,Foggy,-1.4,52,Male,67,Male,Arrested
303,17-07-2023,15:56,Assault,Downtown,37.375803,-117.104098,Monday,Snowy,-2.7,60,Male,71,Female,Under Investigation
304,27-02-2023,18:31,Vandalism,Park,39.98598,-75.461015,Monday,Rainy,19.7,57,Male,21,Female,Under Investigation
305,04-01-2023,18:13,Theft,Mall,34.052961,-103.40972,Wednesday,Cloudy,3.5,40,Female,75,Female,Under Investigation
306,26-12-2023,20:29,Drug Offense,Suburb,39.987518,-84.232131,Tuesday,Foggy,9.9,26,Female,69,Female,Unsolved
307,01-10-2022,07:48,Robbery,Park,39.612573,-91.406955,Saturday,Foggy,25.2,46,Female,15,Female,Under Investigation
308,30-09-2022,05:47,Homicide,Industrial Zone,39.3218,-95.10103,Friday,Rainy,18.6,56,Female,59,Female,Under Investigation
309,11-04-2023,07:24,Fraud,Park,35.732247,-109.008547,Tuesday,Snowy,17.3,21,Male,66,Male,Unsolved
310,03-07-2023,16:46,Burglary,Park,35.158519,-93.526581,Monday,Cloudy,32.8,47,Female,75,Male,Unsolved
311,14-12-2023,11:07,Drug Offense,Industrial Zone,34.543133,-102.071566,Thursday,Snowy,30.1,42,Female,51,Female,Unsolved
312,02-03-2023,03:11,Homicide,Residential Area,35.067483,-81.588775,Thursday,Foggy,28.2,51,Female,21,Male,Under Investigation
313,21-09-2023,02:25,Theft,Residential Area,35.498366,-87.004435,Thursday,Clear,22.5,51,Female,72,Male,Under Investigation
314,04-05-2023,11:28,Assault,Industrial Zone,37.322287,-112.274076,Thursday,Cloudy,29.3,25,Male,60,Male,Under Investigation
315,20-11-2022,07:45,Burglary,Park,38.270542,-93.297428,Sunday,Cloudy,24.4,51,Female,75,Female,Under Investigation
316,04-06-2022,00:08,Assault,Suburb,36.521635,-103.840372,Saturday,Clear,-2.2,56,Female,17,Male,Arrested
317,30-12-2023,16:46,Robbery,Suburb,34.324954,-116.838589,Saturday,Snowy,13.3,27,Female,18,Male,Arrested
318,30-01-2022,15:00,Vandalism,Mall,35.651039,-97.337919,Sunday,Foggy,30.6,50,Male,71,Male,Unsolved
319,31-08-2023,07:31,Vandalism,Mall,34.446531,-87.110877,Thursday,Rainy,12.3,52,Male,45,Male,Unsolved
320,20-08-2023,19:59,Assault,Highway,34.196794,-80.561973,Sunday,Clear,9,46,Female,18,Male,Unsolved
321,02-10-2023,13:57,Homicide,Park,37.579583,-104.61242,Monday,Clear,12.3,58,Male,14,Male,Under Investigation
322,11-04-2023,03:47,Theft,Mall,39.352969,-86.559449,Tuesday,Snowy,2.6,16,Female,52,Female,Arrested
323,16-11-2023,02:37,Burglary,Park,39.212111,-114.75559,Thursday,Rainy,-2.4,16,Male,76,Female,Arrested
324,08-12-2022,17:06,Burglary,Suburb,37.142668,-87.396435,Thursday,Cloudy,29.3,22,Male,26,Male,Under Investigation
325,13-01-2022,17:24,Vandalism,Park,38.962227,-89.715721,Thursday,Snowy,25,20,Female,46,Female,Arrested
326,07-08-2023,12:11,Drug Offense,Highway,36.893199,-91.720232,Monday,Clear,1.6,48,Male,74,Female,Arrested
327,01-01-2023,17:39,Robbery,Residential Area,39.137067,-94.227226,Sunday,Rainy,32.8,27,Male,72,Male,Arrested
328,25-11-2022,07:09,Homicide,Suburb,37.858853,-113.094089,Friday,Snowy,21.5,55,Female,30,Female,Unsolved
329,15-11-2022,23:26,Burglary,Highway,38.891042,-91.263082,Tuesday,Clear,12.5,26,Male,20,Female,Under Investigation
330,20-08-2022,06:37,Theft,Highway,34.285476,-117.5892,Saturday,Rainy,16.7,22,Male,58,Male,Under Investigation
331,17-01-2023,20:14,Robbery,Highway,39.681932,-106.661473,Tuesday,Cloudy,32.9,43,Male,61,Male,Under Investigation
332,10-02-2022,18:36,Vandalism,Residential Area,36.173659,-96.173162,Thursday,Snowy,9.7,16,Male,51,Male,Unsolved
333,08-05-2022,12:59,Drug Offense,Residential Area,36.489335,-101.361395,Sunday,Rainy,8,20,Male,18,Female,Arrested
334,04-12-2023,18:31,Drug Offense,Downtown,38.282302,-113.682541,Monday,Snowy,-4.2,44,Female,19,Female,Under Investigation
335,18-08-2023,02:17,Robbery,Industrial Zone,36.884809,-114.551744,Friday,Rainy,-5,37,Female,36,Male,Unsolved
336,03-05-2022,22:10,Vandalism,Mall,35.526504,-85.818987,Tuesday,Cloudy,-0.4,21,Female,69,Female,Arrested
337,10-11-2022,08:11,Theft,Industrial Zone,37.305038,-117.399806,Thursday,Rainy,14.1,27,Female,12,Female,Under Investigation
338,26-07-2023,08:19,Drug Offense,Highway,36.646516,-78.240404,Wednesday,Snowy,7.6,49,Male,47,Female,Under Investigation
339,07-12-2023,12:55,Assault,Park,34.377683,-102.164377,Thursday,Clear,32.2,55,Female,69,Female,Arrested
340,10-07-2023,19:57,Homicide,Park,38.634713,-88.89572,Monday,Rainy,28.4,32,Male,35,Male,Arrested
341,24-06-2023,07:10,Burglary,Downtown,36.531618,-85.754848,Saturday,Rainy,15.8,18,Male,40,Male,Under Investigation
342,10-10-2023,10:57,Burglary,Residential Area,36.647294,-109.235027,Tuesday,Cloudy,-3.8,38,Female,12,Female,Under Investigation
343,03-01-2022,22:19,Vandalism,Industrial Zone,37.511531,-115.821311,Monday,Rainy,6.1,58,Female,50,Male,Under Investigation
344,20-08-2023,20:27,Vandalism,Residential Area,35.939814,-110.220855,Sunday,Clear,31.7,59,Male,67,Male,Unsolved
345,10-02-2023,01:01,Theft,Park,34.611548,-86.863771,Friday,Foggy,10,29,Female,78,Female,Arrested
346,30-09-2023,11:34,Burglary,Highway,34.563348,-97.820465,Saturday,Cloudy,4.5,38,Female,76,Male,Under Investigation
347,12-04-2023,01:52,Homicide,Mall,38.399077,-107.430766,Wednesday,Foggy,13,56,Female,48,Male,Under Investigation
348,04-03-2023,05:47,Robbery,Park,38.402191,-105.701579,Saturday,Snowy,31.2,26,Male,77,Female,Under Investigation
349,06-10-2022,07:39,Burglary,Mall,35.430582,-102.106029,Thursday,Clear,27.8,43,Male,21,Male,Unsolved
350,20-01-2022,13:07,Theft,Suburb,37.987849,-110.288116,Thursday,Clear,16.5,37,Male,34,Female,Arrested
351,15-07-2022,19:22,Homicide,Industrial Zone,35.421088,-103.404274,Friday,Snowy,34.9,39,Female,12,Female,Unsolved
352,10-04-2023,19:15,Burglary,Downtown,36.513424,-77.748204,Monday,Clear,34.5,36,Female,18,Female,Under Investigation
353,18-01-2022,00:51,Theft,Highway,39.682449,-90.338541,Tuesday,Rainy,30.8,41,Male,20,Male,Unsolved
354,09-08-2022,07:09,Vandalism,Suburb,37.702721,-106.581813,Tuesday,Clear,13,50,Female,38,Female,Unsolved
355,17-07-2023,12:52,Homicide,Park,35.627049,-75.398927,Monday,Clear,26.7,58,Female,41,Female,Arrested
356,10-03-2022,12:01,Drug Offense,Mall,38.345378,-106.795452,Thursday,Foggy,-0.1,24,Male,23,Female,Under Investigation
357,07-10-2022,21:17,Burglary,Mall,37.920103,-87.957932,Friday,Cloudy,3.8,24,Female,64,Female,Under Investigation
358,07-12-2022,03:03,Vandalism,Downtown,38.221559,-83.014862,Wednesday,Snowy,32.1,40,Female,60,Male,Arrested
359,10-07-2022,03:12,Homicide,Suburb,37.270248,-95.605027,Sunday,Clear,12.2,18,Male,78,Female,Under Investigation
360,28-03-2023,05:00,Theft,Suburb,36.460327,-86.907175,Tuesday,Foggy,10,29,Male,77,Female,Under Investigation
361,04-11-2022,16:42,Fraud,Industrial Zone,37.640928,-103.710325,Friday,Rainy,13,27,Male,52,Male,Arrested
362,26-05-2022,07:15,Homicide,Residential Area,39.502131,-115.981543,Thursday,Clear,4,45,Male,44,Female,Unsolved
363,31-05-2022,04:20,Robbery,Residential Area,35.100491,-106.906713,Tuesday,Snowy,22.2,47,Male,37,Female,Arrested
364,10-03-2022,21:52,Theft,Highway,38.257169,-85.576843,Thursday,Snowy,17.9,36,Female,24,Male,Unsolved
365,24-01-2022,05:55,Burglary,Downtown,38.376744,-102.255313,Monday,Foggy,10.3,32,Female,10,Female,Unsolved
366,17-06-2023,12:01,Robbery,Residential Area,38.772931,-106.624428,Saturday,Snowy,22.9,47,Male,12,Female,Unsolved
367,24-07-2022,04:05,Fraud,Residential Area,35.856374,-92.440554,Sunday,Cloudy,8.3,24,Male,77,Female,Unsolved
368,03-12-2022,02:43,Robbery,Highway,36.901314,-108.753409,Saturday,Clear,5.9,22,Female,71,Male,Unsolved
369,20-09-2022,13:12,Burglary,Mall,36.564967,-109.536854,Tuesday,Foggy,0.1,48,Male,66,Male,Unsolved
370,03-12-2022,09:02,Theft,Downtown,39.016007,-97.562299,Saturday,Clear,25.4,38,Female,53,Female,Unsolved
371,11-03-2022,01:25,Theft,Residential Area,39.364414,-88.457879,Friday,Rainy,22.2,57,Male,57,Female,Under Investigation
372,03-05-2023,03:09,Theft,Suburb,39.983999,-108.81481,Wednesday,Clear,28.1,31,Female,67,Male,Unsolved
373,25-11-2023,09:29,Fraud,Suburb,36.348018,-104.11357,Saturday,Snowy,17,38,Male,40,Male,Arrested
374,21-08-2022,18:47,Robbery,Downtown,37.470506,-81.065392,Sunday,Rainy,34.3,57,Female,72,Male,Under Investigation
375,22-02-2023,23:16,Robbery,Industrial Zone,35.573107,-102.70554,Wednesday,Snowy,32.2,40,Male,72,Female,Unsolved
376,03-01-2023,09:47,Theft,Residential Area,36.093811,-83.30601,Tuesday,Clear,30.9,42,Male,76,Female,Unsolved
377,04-01-2023,05:33,Assault,Downtown,37.767981,-104.71883,Wednesday,Rainy,10.6,40,Male,73,Male,Under Investigation
378,21-01-2022,09:30,Assault,Mall,37.79566,-103.918932,Friday,Rainy,3.8,56,Female,49,Female,Under Investigation
379,05-06-2022,09:48,Vandalism,Industrial Zone,39.249048,-83.517187,Sunday,Snowy,11,36,Male,36,Male,Arrested
380,26-02-2022,22:28,Theft,Industrial Zone,39.300639,-113.408405,Saturday,Cloudy,19.1,27,Female,75,Female,Under Investigation
381,15-02-2022,19:13,Fraud,Suburb,37.564238,-94.892535,Tuesday,Foggy,0.7,20,Male,54,Female,Under Investigation
382,04-09-2023,01:18,Theft,Industrial Zone,35.554852,-89.412557,Monday,Snowy,3.2,19,Female,35,Male,Arrested
383,14-12-2022,17:15,Homicide,Park,35.902658,-100.096112,Wednesday,Rainy,1.8,39,Female,21,Male,Unsolved
384,10-05-2022,20:02,Homicide,Industrial Zone,37.058523,-114.017235,Tuesday,Clear,11.6,60,Male,79,Female,Unsolved
385,21-12-2023,14:30,Robbery,Downtown,39.267944,-114.440233,Thursday,Foggy,-3.8,20,Female,44,Male,Under Investigation
386,29-03-2023,22:58,Assault,Suburb,36.562725,-111.25312,Wednesday,Cloudy,25.9,35,Male,45,Male,Under Investigation
387,01-03-2023,23:56,Fraud,Park,34.999152,-83.836708,Wednesday,Cloudy,-1,20,Female,57,Female,Unsolved
388,02-04-2022,02:58,Assault,Industrial Zone,36.077912,-91.878445,Saturday,Snowy,-1.1,29,Male,40,Female,Arrested
389,28-09-2023,13:00,Fraud,Mall,39.065736,-100.968946,Thursday,Cloudy,2.6,54,Female,31,Female,Unsolved
390,10-06-2023,21:33,Robbery,Downtown,38.838586,-81.722042,Saturday,Foggy,-2.5,29,Female,37,Female,Arrested
391,13-12-2023,17:08,Burglary,Highway,39.405572,-107.994195,Wednesday,Snowy,4,45,Female,10,Male,Arrested
392,04-11-2023,02:43,Homicide,Highway,35.818129,-93.661766,Saturday,Foggy,17.9,41,Female,31,Female,Under Investigation
393,19-11-2023,10:50,Theft,Residential Area,36.860529,-106.939036,Sunday,Clear,33.3,55,Male,19,Male,Arrested
394,28-12-2023,02:20,Assault,Highway,36.698883,-104.292063,Thursday,Rainy,20.1,44,Female,45,Male,Arrested
395,19-07-2022,11:52,Assault,Downtown,35.698787,-111.193069,Tuesday,Rainy,5.9,41,Male,62,Male,Under Investigation
396,17-06-2022,01:34,Homicide,Industrial Zone,35.831095,-103.13522,Friday,Cloudy,21,49,Female,21,Male,Arrested
397,18-02-2022,23:27,Robbery,Mall,34.653203,-80.647366,Friday,Rainy,12.2,42,Male,30,Female,Arrested
398,14-06-2022,08:59,Robbery,Industrial Zone,38.919832,-107.752249,Tuesday,Clear,-1.3,23,Male,67,Female,Unsolved
399,08-02-2022,10:55,Assault,Suburb,39.636394,-95.921571,Tuesday,Rainy,33.1,21,Male,64,Male,Unsolved
400,25-06-2023,01:22,Homicide,Mall,37.078601,-98.108225,Sunday,Snowy,14.5,21,Female,74,Female,Under Investigation
401,05-03-2023,10:18,Theft,Park,36.572892,-77.027827,Sunday,Cloudy,3.9,16,Male,13,Male,Arrested
402,28-11-2022,04:07,Theft,Highway,38.693992,-99.239645,Monday,Cloudy,16.8,24,Male,17,Female,Arrested
403,31-08-2022,12:29,Fraud,Industrial Zone,34.840588,-96.589694,Wednesday,Cloudy,11.3,18,Female,19,Female,Arrested
404,11-07-2022,21:26,Theft,Park,35.605936,-97.011728,Monday,Rainy,-2,42,Female,33,Female,Arrested
405,27-09-2022,21:14,Theft,Suburb,39.82656,-75.039075,Tuesday,Clear,2.5,39,Female,62,Female,Unsolved
406,20-07-2023,16:56,Robbery,Residential Area,37.760128,-106.22983,Thursday,Rainy,27.3,32,Female,22,Male,Under Investigation
407,07-12-2022,02:01,Burglary,Mall,36.646264,-93.090043,Wednesday,Cloudy,12.4,30,Male,72,Female,Under Investigation
408,26-02-2023,14:46,Fraud,Park,39.601739,-105.641823,Sunday,Foggy,32.3,27,Male,12,Male,Under Investigation
409,03-09-2023,19:33,Robbery,Downtown,39.547694,-114.867286,Sunday,Foggy,23.5,49,Female,15,Male,Unsolved
410,13-04-2022,05:56,Theft,Highway,35.312301,-92.358908,Wednesday,Clear,11.5,35,Male,20,Female,Arrested
411,22-05-2022,07:35,Fraud,Suburb,37.975894,-104.825154,Sunday,Clear,18.1,21,Male,67,Male,Under Investigation
412,19-01-2023,06:41,Theft,Downtown,37.91801,-104.809339,Thursday,Clear,25.5,42,Male,49,Female,Under Investigation
413,16-02-2022,22:26,Drug Offense,Downtown,35.155058,-106.306612,Wednesday,Rainy,-1.4,23,Female,56,Female,Unsolved
414,26-04-2023,06:19,Homicide,Downtown,35.788336,-88.345066,Wednesday,Cloudy,-0.5,35,Female,30,Female,Unsolved
415,16-02-2022,18:37,Burglary,Residential Area,36.684854,-87.91528,Wednesday,Foggy,11.4,24,Female,22,Male,Under Investigation
416,06-11-2023,04:41,Theft,Residential Area,37.330525,-110.976348,Monday,Snowy,22.7,42,Male,25,Male,Unsolved
417,06-09-2023,11:18,Burglary,Residential Area,39.933617,-101.333676,Wednesday,Cloudy,4.1,55,Female,70,Male,Unsolved
418,15-10-2022,09:41,Vandalism,Highway,35.322064,-81.426927,Saturday,Rainy,8.3,25,Male,30,Female,Under Investigation
419,03-10-2023,21:01,Homicide,Industrial Zone,36.901248,-83.200361,Tuesday,Cloudy,24.5,49,Female,71,Male,Arrested
420,11-08-2023,13:53,Theft,Mall,35.374736,-103.187575,Friday,Rainy,24.8,40,Female,57,Female,Under Investigation
421,27-01-2023,22:38,Burglary,Industrial Zone,34.904966,-111.553674,Friday,Snowy,18.2,26,Female,42,Female,Under Investigation
422,05-06-2023,15:12,Burglary,Suburb,39.639942,-105.283801,Monday,Rainy,13.2,28,Male,59,Female,Arrested
423,19-02-2023,00:25,Drug Offense,Downtown,38.148085,-85.294452,Sunday,Cloudy,14,47,Female,41,Female,Unsolved
424,30-11-2022,01:39,Vandalism,Highway,39.870539,-94.81007,Wednesday,Foggy,11.4,26,Male,58,Female,Arrested
425,14-08-2022,15:49,Vandalism,Highway,37.835747,-87.510225,Sunday,Cloudy,27.1,46,Female,61,Female,Arrested
426,14-02-2023,14:37,Robbery,Highway,37.202817,-76.481175,Tuesday,Clear,-1.9,41,Male,11,Female,Unsolved
427,03-12-2022,08:51,Assault,Park,38.049323,-107.360163,Saturday,Clear,-4,55,Male,19,Female,Unsolved
428,24-10-2022,03:40,Vandalism,Downtown,39.511602,-112.091307,Monday,Cloudy,29,52,Female,45,Male,Under Investigation
429,04-12-2023,23:47,Theft,Mall,37.596279,-113.06425,Monday,Clear,13.5,59,Female,69,Female,Arrested
430,04-07-2022,20:39,Fraud,Industrial Zone,39.002031,-90.662161,Monday,Foggy,3.2,49,Male,15,Male,Arrested
431,16-12-2022,10:29,Robbery,Suburb,39.543449,-107.406154,Friday,Clear,6.1,18,Female,52,Female,Arrested
432,24-02-2022,07:01,Fraud,Suburb,38.684625,-84.193175,Thursday,Clear,31.6,54,Male,43,Male,Under Investigation
433,14-07-2022,10:51,Homicide,Downtown,34.855245,-108.56471,Thursday,Snowy,24,47,Female,79,Male,Arrested
